DATE,FedInterestRate,Inflation,GDP,S&P500Close,UmemploymentRate,GovernmentDebtGDP,CorporateDebt,PoundDollar,DollarYen,SP5006monthslater
01/03/1981,14.7,0.105,3124.206,136,0.074,0.30873,452370,2.2319,208.7918,122.790001
01/04/1981,15.72,0.1,3162.532,132.809998,0.072,0.30709,469953,2.1753,214.9759,116.18
01/05/1981,18.52,0.098,3162.532,132.589996,0.075,0.30709,469953,2.0884,220.6285,121.889999
01/06/1981,19.1,0.096,3162.532,131.210007,0.075,0.30709,469953,1.9738,224.1805,126.349998
01/07/1981,19.04,0.108,3260.609,130.919998,0.072,0.30603,483822,1.8737,232.3261,122.550003
01/08/1981,17.82,0.108,3260.609,122.790001,0.074,0.30603,483822,1.8203,233.3262,120.400002
01/09/1981,15.87,0.11,3260.609,116.18,0.076,0.30603,483822,1.8146,229.481,113.110001
01/10/1981,15.08,0.101,3280.818,121.889999,0.079,0.31356,492376,1.8407,231.519,111.959999
01/11/1981,13.31,0.096,3280.818,126.349998,0.083,0.31356,492376,1.9025,223.1267,116.440002
01/12/1981,12.37,0.089,3280.818,122.550003,0.085,0.31356,492376,1.9033,218.9545,111.879997
01/01/1982,13.22,0.084,3274.302,120.400002,0.086,0.32413,511040,1.886,224.805,109.610001
01/02/1982,14.78,0.076,3274.302,113.110001,0.089,0.32413,511040,1.847,235.3056,107.089996
01/03/1982,14.68,0.068,3274.302,111.959999,0.09,0.32413,511040,1.8053,241.2283,119.510002
01/04/1982,14.94,0.065,3331.972,116.440002,0.093,0.32402,521369,1.772,244.1068,120.419998
01/05/1982,14.45,0.067,3331.972,111.879997,0.094,0.32402,521369,1.8104,236.9635,133.720001
01/06/1982,14.15,0.071,3331.972,109.610001,0.096,0.32402,521369,1.7563,251.1977,138.529999
01/07/1982,12.59,0.064,3366.322,107.089996,0.098,0.33925,531636,1.7354,255.031,140.639999
01/08/1982,10.12,0.059,3366.322,119.510002,0.098,0.33925,531636,1.725,259.0455,145.300003
01/09/1982,10.31,0.05,3366.322,120.419998,0.101,0.33925,531636,1.712,263.2857,148.059998
01/10/1982,9.71,0.051,3402.561,133.720001,0.104,0.35182,533077,1.6962,271.615,152.960007
01/11/1982,9.2,0.046,3402.561,138.529999,0.108,0.35182,533077,1.6321,264.0879,164.429993
01/12/1982,8.95,0.038,3402.561,140.639999,0.108,0.35182,533077,1.616,241.9413,162.389999
01/01/1983,8.68,0.037,3473.413,145.300003,0.104,0.35829,545301,1.5756,232.731,167.639999
01/02/1983,8.51,0.035,3473.413,148.059998,0.104,0.35829,545301,1.5329,236.1211,162.559998
01/03/1983,8.77,0.036,3473.413,152.960007,0.103,0.35829,545301,1.49,238.2543,164.399994
01/04/1983,8.8,0.039,3578.848,164.429993,0.102,0.36872,556969,1.5361,237.7467,166.070007
01/05/1983,8.63,0.035,3578.848,162.389999,0.101,0.36872,556969,1.5722,234.7557,163.550003
01/06/1983,8.98,0.026,3578.848,167.639999,0.101,0.36872,556969,1.548,240.0314,166.399994
01/07/1983,9.37,0.025,3689.179,162.559998,0.094,0.37331,565361,1.5273,240.516,164.929993
01/08/1983,9.56,0.026,3689.179,164.399994,0.095,0.37331,565361,1.5026,244.4613,163.410004
01/09/1983,9.45,0.029,3689.179,166.070007,0.092,0.37331,565361,1.4986,242.3462,157.059998
01/10/1983,9.48,0.029,3794.706,163.550003,0.088,0.37176,567652,1.4969,232.8855,159.179993
01/11/1983,9.34,0.033,3794.706,166.399994,0.085,0.37176,567652,1.4766,235.03,160.050003
01/12/1983,9.47,0.038,3794.706,164.929993,0.083,0.37176,567652,1.4338,234.4624,150.550003
01/01/1984,9.56,0.042,3908.054,163.410004,0.08,0.37454,583617,1.4076,233.8,153.179993
01/02/1984,9.59,0.046,3908.054,157.059998,0.078,0.37454,583617,1.4417,233.5963,150.660004
01/03/1984,9.91,0.048,3908.054,159.179993,0.078,0.37454,583617,1.4557,225.2664,166.679993
01/04/1984,10.29,0.046,4009.601,160.050003,0.077,0.37727,605223,1.421,225.2,166.100006
01/05/1984,10.32,0.042,4009.601,150.550003,0.074,0.37727,605223,1.3894,230.4777,166.089996
01/06/1984,11.06,0.042,4009.601,153.179993,0.072,0.37727,605223,1.377,233.5657,163.580002
01/07/1984,11.23,0.042,4084.25,150.660004,0.075,0.38496,628268,1.32,243.0676,167.240005
01/08/1984,11.64,0.043,4084.25,166.679993,0.075,0.38496,628268,1.3132,242.2609,179.630005
01/09/1984,11.3,0.043,4084.25,166.100006,0.073,0.38496,628268,1.2563,245.4568,181.179993
01/10/1984,9.99,0.043,4148.551,166.089996,0.074,0.40085,657987,1.2196,246.7545,180.660004
01/11/1984,9.43,0.041,4148.551,163.580002,0.072,0.40085,657987,1.2392,243.6305,179.830002
01/12/1984,8.38,0.039,4148.551,167.240005,0.073,0.40085,657987,1.1861,247.964,189.550003
01/01/1985,8.35,0.035,4230.168,179.630005,0.073,0.40441,682669,1.1271,254.1829,191.850006
